state,year,marketplace_type
MA,2008,pre_ACA
MA,2009,pre_ACA
MA,2010,pre_ACA
MA,2011,pre_ACA
MA,2012,pre_ACA
MA,2013,pre_ACA
MA,2014,SBM
MA,2015,SBM
MA,2016,SBM
MA,2017,SBM
MA,2018,SBM
MA,2019,SBM
MA,2020,SBM
MA,2021,SBM
MA,2022,SBM
MA,2023,SBM
MD,2001,pre_ACA
MD,2002,pre_ACA
MD,2003,pre_ACA
MD,2004,pre_ACA
MD,2005,pre_ACA
MD,2006,pre_ACA
MD,2007,pre_ACA
MD,2008,pre_ACA
MD,2009,pre_ACA
MD,2010,pre_ACA
MD,2011,pre_ACA
MD,2012,pre_ACA
MD,2013,pre_ACA
MD,2014,SBM
MD,2015,SBM
MD,2016,SBM
MD,2017,SBM
MD,2018,SBM
MD,2019,SBM
MD,2020,SBM
MD,2021,SBM
MD,2022,SBM
MD,2023,SBM
ME,2001,pre_ACA
ME,2002,pre_ACA
ME,2003,pre_ACA
ME,2004,pre_ACA
ME,2005,pre_ACA
ME,2006,pre_ACA
ME,2007,pre_ACA
ME,2008,pre_ACA
ME,2009,pre_ACA
ME,2010,pre_ACA
ME,2011,pre_ACA
ME,2012,pre_ACA
ME,2013,pre_ACA
ME,2014,FFM
ME,2015,FFM
ME,2016,FFM
ME,2017,FFM
ME,2018,FFM
ME,2019,FFM
ME,2020,FFM
ME,2021,FFM
ME,2022,FFM
ME,2023,FFM
MI,2001,pre_ACA
MI,2002,pre_ACA
MI,2003,pre_ACA
MI,2004,pre_ACA
MI,2005,pre_ACA
MI,2006,pre_ACA
MI,2007,pre_ACA
MI,2008,pre_ACA
MI,2009,pre_ACA
MI,2010,pre_ACA
MI,2011,pre_ACA
MI,2012,pre_ACA
MI,2013,pre_ACA
MI,2014,FFM
MI,2015,FFM
MI,2016,FFM
MI,2017,FFM
MI,2018,FFM
MI,2019,FFM
MI,2020,FFM
MI,2021,FFM
MI,2022,FFM
MI,2023,FFM
MN,2001,pre_ACA
MN,2002,pre_ACA
MN,2003,pre_ACA
MN,2004,pre_ACA
MN,2005,pre_ACA
MN,2006,pre_ACA
MN,2007,pre_ACA
MN,2008,pre_ACA
MN,2009,pre_ACA
MN,2010,pre_ACA
MN,2011,pre_ACA
MN,2012,pre_ACA
MN,2013,pre_ACA
MN,2014,SBM
MN,2015,SBM
MN,2016,SBM
MN,2017,SBM
MN,2018,SBM
MN,2019,SBM
MN,2020,SBM
MN,2021,SBM
MN,2022,SBM
MN,2023,SBM
MO,2001,pre_ACA
MO,2002,pre_ACA
MO,2003,pre_ACA
MO,2004,pre_ACA
MO,2005,pre_ACA
MO,2006,pre_ACA
MO,2007,pre_ACA
MO,2008,pre_ACA
MO,2009,pre_ACA
MO,2010,pre_ACA
MO,2011,pre_ACA
MO,2012,pre_ACA
MO,2013,pre_ACA
MO,2014,FFM
MO,2015,FFM
MO,2016,FFM
MO,2017,FFM
MO,2018,FFM
MO,2019,FFM
MO,2020,FFM
MO,2021,FFM
MO,2022,FFM
MO,2023,FFM
MS,2001,pre_ACA
