state,year,median_household_income,population
NY,2011,55246.0,19465197.0
NC,2011,43916.0,9656401.0
ND,2011,51704.0,683932.0
OH,2011,45749.0,11544951.0
OK,2011,43225.0,3791508.0
OR,2011,46816.0,3871859.0
PA,2011,50228.0,12742886.0
RI,2011,53636.0,1051302.0
SC,2011,42367.0,4679230.0
SD,2011,48321.0,824082.0
TN,2011,41693.0,6403353.0
TX,2011,49392.0,25674681.0
UT,2011,55869.0,2817222.0
VT,2011,52776.0,626431.0
VA,2011,61882.0,8096604.0
WA,2011,56835.0,6830038.0
WI,2011,50395.0,5711767.0
WY,2011,56322.0,568158.0
AL,2012,41574.0,4822023.0
AK,2012,67712.0,731449.0
AZ,2012,47826.0,6553255.0
AR,2012,40112.0,2949131.0
CA,2012,58328.0,38041430.0
CO,2012,56765.0,5187582.0
DE,2012,58415.0,917092.0
DC,2012,66583.0,632323.0
CT,2012,67276.0,3590347.0
FL,2012,45040.0,19317568.0
GA,2012,47209.0,9919945.0
ID,2012,45489.0,1595728.0
HI,2012,66259.0,1392313.0
IL,2012,55137.0,12875255.0
IN,2012,46974.0,6537334.0
IA,2012,50957.0,3074186.0
KS,2012,50241.0,2885905.0
KY,2012,41724.0,4380415.0
LA,2012,42944.0,4601893.0
ME,2012,46709.0,1329192.0
MD,2012,71122.0,5884563.0
MA,2012,65339.0,6646144.0
MI,2012,46859.0,9883360.0
MN,2012,58906.0,5379139.0
MS,2012,37095.0,2984926.0
MO,2012,45321.0,6021988.0
MT,2012,45076.0,1005141.0
NE,2012,50723.0,1855525.0
NV,2012,49760.0,2758931.0
NH,2012,63280.0,1320718.0
NJ,2012,69667.0,8864590.0
NM,2012,42558.0,2085538.0
NY,2012,56448.0,19570261.0
NC,2012,45150.0,9752073.0
ND,2012,53585.0,699628.0
OH,2012,46829.0,11544225.0
OK,2012,44312.0,3814820.0
OR,2012,49161.0,3899353.0
PA,2012,51230.0,12763536.0
RI,2012,54554.0,1050292.0
SC,2012,43107.0,4723723.0
SD,2012,48362.0,833354.0
TN,2012,42764.0,6456243.0
TX,2012,50740.0,26059203.0
VT,2012,52977.0,626011.0
UT,2012,57049.0,2855287.0
VA,2012,61741.0,8185867.0
WA,2012,57573.0,6897012.0
WI,2012,51059.0,5726398.0
WY,2012,54901.0,576412.0
MS,2013,37963.0,2991207.0
MO,2013,46931.0,6044171.0
MT,2013,46972.0,1015165.0
NE,2013,51440.0,1868516.0
NV,2013,51230.0,2790136.0
NH,2013,64230.0,1323459.0
NJ,2013,70165.0,8899339.0
NM,2013,43872.0,2085287.0
NY,2013,57369.0,19651127.0
NC,2013,45906.0,9848060.0
ND,2013,55759.0,723393.0
OH,2013,48081.0,11570808.0
OK,2013,45690.0,3850568.0
OR,2013,50251.0,3930065.0
PA,2013,52007.0,12773801.0
RI,2013,55902.0,1051511.0
SC,2013,44163.0,4774839.0
SD,2013,48947.0,844877.0
TN,2013,44297.0,6495978.0
TX,2013,51704.0,26448193.0
VT,2013,52578.0,626630.0
UT,2013,59770.0,2900872.0
VA,2013,62666.0,8260405.0
WA,2013,58405.0,6971406.0
WI,2013,51467.0,5742713.0
WY,2013,58752.0,582658.0
AL,2013,42849.0,4833722.0
AK,2013,72237.0,735132.0
AZ,2013,48510.0,6626624.0
AR,2013,40511.0,2959373.0
CA,2013,60190.0,38332521.0
CO,2013,58823.0,5268367.0
DE,2013,57846.0,925749.0
DC,2013,67572.0,646449.0
CT,2013,67098.0,3596080.0
FL,2013,46036.0,19552860.0
GA,2013,47829.0,9992167.0
ID,2013,46783.0,1612136.0
HI,2013,68020.0,1404054.0
IL,2013,56210.0,12882135.0
IN,2013,47529.0,6570902.0
IA,2013,52229.0,3090416.0
KS,2013,50972.0,2893957.0
KY,2013,43399.0,4395295.0
LA,2013,44164.0,4625470.0
ME,2013,46974.0,1328302.0
MD,2013,72483.0,5928814.0
MA,2013,66768.0,6692824.0
MI,2013,48273.0,9895622.0
MN,2013,60702.0,5420380.0
AL,2014,42830.0,4849377.0
AK,2014,71583.0,736732.0
AZ,2014,50068.0,6731484.0
AR,2014,41262.0,2966369.0
CA,2014,61933.0,38802500.0
CO,2014,61303.0,5355866.0
DE,2014,59716.0,935614.0
DC,2014,71648.0,658893.0
CT,2014,70048.0,3596677.0
FL,2014,47463.0,19893297.0
GA,2014,49321.0,10097343.0
ID,2014,47861.0,1634464.0
HI,2014,69592.0,1419561.0
IL,2014,57444.0,12880580.0
IN,2014,49446.0,6596855.0
IA,2014,53712.0,3107126.0
KS,2014,52504.0,2904021.0
KY,2014,42958.0,4413457.0
LA,2014,44555.0,4649676.0
ME,2014,49462.0,1330089.0
MD,2014,73971.0,5976407.0
MA,2014,69160.0,6745408.0
MI,2014,49847.0,9909877.0
MN,2014,61481.0,5457173.0
MS,2014,39680.0,2994079.0
MO,2014,48363.0,6063589.0
