state,year,healthcare_spending_per_capita,total_health_spending_millions
MI,2010,7089.088879516367,70023.0
MI,2011,7349.698826075286,72587.0
MI,2012,7590.232471548137,75017.0
MI,2013,7707.650918759831,76272.0
MI,2014,7985.265609250246,79133.0
MI,2015,8382.19833236853,83173.0
MI,2016,8729.994057391497,86674.0
MI,2017,8952.94274591508,89192.0
MI,2018,9133.931210899653,91302.0
MI,2019,9529.624785856051,95171.0
MI,2020,,98638.0
OH,2001,,52807.0
OH,2002,,57456.0
OH,2003,,61960.0
OH,2004,,66095.0
OH,2005,6281.864024240368,70078.0
OH,2006,6398.585259495421,73443.0
OH,2007,6693.691076686087,76756.0
OH,2008,6833.24177187528,78486.0
OH,2009,7233.783937736975,83497.0
OH,2010,7399.1551104169475,85358.0
OH,2011,7488.2950997366725,86452.0
OH,2012,7858.734562086238,90723.0
OH,2013,8036.1717176535985,92985.0
OH,2014,8409.921440642158,97506.0
OH,2015,8761.15508752243,101747.0
OH,2016,9081.936665888034,105481.0
OH,2017,9405.581746501663,109656.0
OH,2018,9620.134134717466,112454.0
OH,2019,10179.397900608259,118988.0
OH,2020,,122521.0
WI,2001,,25650.0
WI,2002,,27688.0
WI,2003,,29648.0
WI,2004,,31794.0
WI,2005,6333.812708215094,34049.0
WI,2006,6578.414564836248,36553.0
WI,2007,6894.052456066438,38618.0
WI,2008,7164.397523226856,40321.0
WI,2009,7459.71457037894,42183.0
WI,2010,7604.224670785534,43276.0
WI,2011,7816.495315722787,44646.0
WI,2012,7898.158667979417,45228.0
WI,2013,7977.240025750895,45811.0
WI,2014,8365.169714136047,48163.0
WI,2015,8641.151954910967,49871.0
WI,2016,8803.6964657677,50874.0
WI,2017,9015.64200947531,52250.0
WI,2018,9236.840439468499,53699.0
WI,2019,9655.412152374764,56218.0
WI,2020,,58220.0
IA,2001,,13373.0
IA,2002,,14217.0
IA,2003,,15331.0
IA,2004,,16156.0
IA,2005,6014.935681270591,17218.0
IA,2006,6173.5329475853305,18410.0
IA,2007,6468.104417366929,19327.0
IA,2008,6689.964586850474,20087.0
IA,2009,6946.806314262945,20895.0
IA,2010,7097.649319662426,21647.0
IA,2011,7320.946383921413,22419.0
IA,2012,7553.869544653447,23222.0
IA,2013,7646.866959011343,23632.0
IA,2014,7975.8593632829825,24782.0
IA,2015,8354.94361373399,26100.0
IA,2016,8459.839607897808,26519.0
IA,2017,8519.854493944295,26801.0
IA,2018,8794.589602188746,27757.0
IA,2019,9206.13488765701,29046.0
IA,2020,,30968.0
KS,2001,,12245.0
KS,2002,,13130.0
KS,2003,,13991.0
KS,2004,,14920.0
KS,2005,5936.642760352976,15807.0
KS,2006,6022.991416658376,16648.0
KS,2007,6366.721577869141,17674.0
KS,2008,6583.55382005286,18448.0
KS,2009,6760.450654138169,19056.0
KS,2010,6801.276874504445,19446.0
KS,2011,7066.986435816188,20291.0
KS,2012,7385.20498769017,21313.0
KS,2013,7240.605164485858,20954.0
KS,2014,7362.5500642040815,21381.0
KS,2015,7631.778780419701,22221.0
KS,2016,7859.899721011568,22851.0
KS,2017,8053.212995125849,23460.0
KS,2018,8384.309172903408,24411.0
KS,2019,8742.620946454794,25470.0
KS,2020,,27414.0
MN,2001,,24316.0
MN,2002,,26660.0
MN,2003,,28677.0
MN,2004,,30528.0
MN,2005,6492.382132682198,32396.0
MN,2006,6668.729719043618,34458.0
MN,2007,7057.459556978087,36682.0
MN,2008,7263.629385756973,37919.0
MN,2009,7553.812368085997,39780.0
MN,2010,7801.213576510606,41429.0
MN,2011,8015.362794280338,42841.0
MN,2012,8239.794509864869,44323.0
MN,2013,8524.125614809294,46204.0
MN,2014,8911.75705809583,48633.0
MN,2015,9153.864566304903,50251.0
MN,2016,9549.17723922237,52711.0
MN,2017,9769.383026163225,54480.0
MN,2018,10169.698738892486,57064.0
MN,2019,10510.614876999067,59276.0
MN,2020,,61357.0
MO,2001,,25087.0
MO,2002,,27483.0
MO,2003,,29601.0
MO,2004,,31229.0
MO,2005,5824.134263509182,32801.0
MO,2006,5815.791396907567,33980.0
MO,2007,6338.783498613147,37262.0
MO,2008,6665.194985118254,39402.0
MO,2009,6788.218278503168,40645.0
MO,2010,6990.224359268347,41915.0
MO,2011,7265.890360637584,43673.0
MO,2012,7543.356114293154,45426.0
MO,2013,7590.619127089554,45879.0
MO,2014,7821.935160842861,47429.0
MO,2015,8249.95167392325,50190.0
MO,2016,8606.105366814378,52437.0
