state,year,poverty_rate,uninsurance_rate
NV,2019,12.5,11.42
NH,2019,7.27,6.25
NC,2019,13.59,11.26
NJ,2019,9.16,7.89
NM,2019,18.18,9.96
NY,2019,13.03,5.24
ND,2019,10.57,6.9
OH,2019,13.07,6.58
OK,2019,15.18,14.28
OR,2019,11.38,7.17
PA,2019,12.02,5.77
RI,2019,10.82,4.09
SC,2019,13.85,10.85
SD,2019,11.93,10.19
TN,2019,13.85,10.14
TX,2019,13.63,18.36
VT,2019,10.17,4.49
UT,2019,8.91,9.65
VA,2019,9.94,7.93
WA,2019,9.78,6.62
WI,2019,10.42,5.71
WY,2019,10.11,12.31
IL,2019,11.48,7.39
GA,2019,13.3,13.41
ID,2019,11.17,10.83
HI,2019,9.33,4.16
IN,2019,11.9,8.72
IA,2019,11.17,5.01
KS,2019,11.43,9.2
KY,2019,16.26,6.44
LA,2019,19.0,8.9
ME,2019,10.87,8.02
MD,2019,9.02,6.0
MA,2019,9.4,2.99
MI,2019,12.99,5.78
MN,2019,8.97,4.88
CT,2019,10.03,5.9
FL,2019,12.66,13.16
AL,2019,15.46,9.72
AK,2019,10.08,12.21
AZ,2019,13.47,11.28
AR,2019,16.21,9.15
CA,2019,11.75,7.7
CO,2019,9.35,8.01
DE,2019,11.26,6.56
DC,2019,13.45,3.52
AL,2021,16.14,9.85
AZ,2021,12.75,10.68
AR,2021,16.31,9.18
CA,2021,12.3,7.0
CO,2021,9.71,7.97
CT,2021,10.1,5.16
DE,2021,11.59,5.74
DC,2021,16.47,3.67
FL,2021,13.13,12.11
GA,2021,14.02,12.63
HI,2021,11.18,3.94
ID,2021,11.01,8.83
IL,2021,12.1,7.0
IN,2021,12.15,7.52
IA,2021,11.12,4.8
KS,2021,11.68,9.16
KY,2021,16.48,5.66
LA,2021,19.62,7.65
ME,2021,11.52,5.72
MD,2021,10.27,6.09
MA,2021,10.37,2.5
MI,2021,13.06,4.98
MN,2021,9.3,4.46
MS,2021,19.36,11.89
MO,2021,12.69,9.42
MT,2021,11.86,8.22
NE,2021,10.75,7.11
NV,2021,14.09,11.64
NH,2021,7.22,5.14
NJ,2021,10.23,7.17
NM,2021,18.43,9.97
NY,2021,13.91,5.2
NC,2021,13.4,10.42
ND,2021,11.08,7.85
OH,2021,13.4,6.53
OK,2021,15.65,13.77
OR,2021,12.19,6.07
PA,2021,12.08,5.49
RI,2021,11.41,4.34
SC,2021,14.65,10.04
SD,2021,12.29,9.49
TN,2021,13.62,9.98
TX,2021,14.25,17.97
UT,2021,8.56,9.03
VT,2021,10.26,3.66
VA,2021,10.17,6.83
WA,2021,9.93,6.41
WI,2021,10.79,5.36
WY,2021,11.35,12.16
AK,2021,10.49,11.41
AL,2022,16.24,8.77
AK,2022,10.98,10.97
AZ,2022,12.45,10.32
AR,2022,16.78,8.43
CA,2022,12.19,6.46
CO,2022,9.44,7.11
CT,2022,9.84,5.16
DE,2022,9.37,5.65
DC,2022,13.33,2.94
FL,2022,12.69,11.17
GA,2022,12.65,11.67
HI,2022,10.15,3.53
ID,2022,10.72,8.19
IL,2022,11.94,6.55
IN,2022,12.56,6.97
IA,2022,10.95,4.46
KS,2022,12.01,8.59
KY,2022,16.47,5.58
LA,2022,18.57,6.95
ME,2022,10.77,6.56
MD,2022,9.63,6.07
MA,2022,10.35,2.42
MI,2022,13.39,4.55
MN,2022,9.64,4.5
MS,2022,19.15,10.85
MO,2022,13.17,8.58
MT,2022,12.13,8.26
NE,2022,11.24,6.68
NV,2022,12.45,11.11
NH,2022,7.21,4.9
NJ,2022,9.69,6.84
NM,2022,17.6,8.22
NY,2022,14.25,4.85
NC,2022,12.76,9.28
ND,2022,11.47,6.38
OH,2022,13.44,5.89
OK,2022,15.66,11.73
OR,2022,12.11,6.01
PA,2022,11.82,5.32
RI,2022,10.82,4.21
SC,2022,13.96,9.07
SD,2022,12.49,8.06
TN,2022,13.28,9.31
TX,2022,13.98,16.58
UT,2022,8.2,8.13
VT,2022,10.43,3.87
VA,2022,10.56,6.45
WA,2022,9.98,6.1
WI,2022,10.71,5.19
WY,2022,11.79,11.5
AL,2023,15.59,8.49
AK,2023,10.37,10.39
AZ,2023,12.45,9.94
AR,2023,15.66,8.92
CA,2023,12.0,6.39
CO,2023,9.32,6.7
CT,2023,10.28,5.74
DE,2023,10.53,6.49
DC,2023,14.02,2.71
FL,2023,12.33,10.69
GA,2023,13.57,11.39
HI,2023,10.15,3.22
ID,2023,10.11,8.85
IL,2023,11.63,6.16
IN,2023,12.31,6.85
IA,2023,11.3,5.02
KS,2023,11.2,8.35
KY,2023,16.37,5.43
LA,2023,18.89,6.92
ME,2023,10.36,5.91
MD,2023,9.49,6.26
MA,2023,10.42,2.58
MI,2023,13.5,4.51
MN,2023,9.27,4.19
MS,2023,18.02,10.35
MO,2023,11.95,7.52
MT,2023,11.72,8.43
NE,2023,10.46,6.12
NV,2023,11.97,10.8
NH,2023,7.19,4.73
NJ,2023,9.71,7.19
NM,2023,17.77,9.08
NY,2023,14.18,4.84
NC,2023,12.79,9.23
ND,2023,9.78,4.5
OH,2023,13.31,6.13
OK,2023,15.92,11.35
OR,2023,12.18,5.49
PA,2023,11.97,5.42
RI,2023,10.84,4.49
SC,2023,13.89,9.1
SD,2023,11.75,8.26
TN,2023,14.04,9.31
TX,2023,13.67,16.38
UT,2023,9.05,7.97
VT,2023,9.68,3.38
VA,2023,10.2,6.4
WA,2023,10.35,6.25
WI,2023,10.67,4.86
WY,2023,11.26,10.65
