state,year,mean_log_premium_exp,median_log_premium_exp,sd_log_premium_exp,mean_premium_exp,n_plans_exp,mean_persons_covered_exp,mean_log_premium_nonexp,median_log_premium_nonexp,sd_log_premium_nonexp,mean_premium_nonexp,n_plans_nonexp,mean_persons_covered_nonexp,ACA_state,Post_ACA,ACA_x_Post,unemployment_rate,median_household_income,population,pct_65plus,pct_nh_white,poverty_rate,uninsurance_rate,medicaid_expansion,marketplace_SBM,healthcare_spending_per_capita,pre_aca_guaranteed_issue,year_2001,year_2002,year_2003,year_2005,year_2006,year_2007,year_2008,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024
AR,2014,6.425990512550517,5.8888779583328805,1.4192115256832012,1635.642669150168,515,1917.22718446602,5.66950309050688,5.59416941496682,1.2432902547465754,697.6477830643911,1157,2564.730337078652,1,1,1,5.9,41262.0,2966369.0,15.68,73.36,18.87,11.78,1.0,0.0,7289.720193273325,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AR,2015,6.487260536112759,5.958562195766665,1.3779095182033374,1663.494768954568,530,1991.5867924528304,5.691277215143048,5.582242390122105,1.214616672153333,685.7214897278297,1243,2537.597747385358,1,1,1,5.0,41995.0,2978204.0,16.05,73.03,19.07,9.49,1.0,0.0,7624.057989311679,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AR,2016,6.483718399500605,5.900543788008922,1.4344306045551452,1734.851180032085,529,830.82797731569,5.649204115012534,5.530688220212005,1.231767727584695,673.9926819190684,1140,3481.84649122807,1,1,1,4.0,44334.0,2988248.0,16.25,72.79,17.22,7.9,1.0,0.0,8089.020723848891,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AR,2017,6.401663952398436,5.845762921767252,1.4316466075220426,1596.763156650976,583,1411.644939965695,5.625413167998812,5.567705454114289,1.196106224842349,631.782984997355,1278,2801.893583724569,1,1,1,3.7,45869.0,3004279.0,16.54,72.34,16.4,7.86,1.0,0.0,8408.007378808692,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AR,2018,6.284944910958863,5.781601223376918,1.4035302254487776,1450.5320127459552,538,1461.6654275092935,5.636633508171429,5.535975755737738,1.222966606729887,674.898346991928,1335,2701.973782771536,1,1,1,3.6,47062.0,3013825.0,16.84,72.14,17.25,8.23,1.0,0.0,8540.641875357727,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AR,2019,6.247141011898528,5.787498430841694,1.3727178360894483,1364.7602103368436,554,1341.985559566787,5.756628156115738,5.639198018674667,1.239543521911841,767.2304639235526,1388,2308.762968299712,1,1,1,3.5,48952.0,3017804.0,17.37,71.97,16.21,9.15,1.0,0.0,8862.073216153203,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AR,2020,6.205255104304261,5.744460145036738,1.404416639419106,1394.0962622524253,507,1436.3214990138067,5.775875725473119,5.708144531736367,1.2257570799499802,761.9542232379703,1427,2251.604765241766,1,1,1,6.1,,,,,,,1.0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AR,2021,6.226907189051166,5.803566537861821,1.3663159800938842,1382.8454579318382,494,1370.5,5.733150882397976,5.663387301603009,1.1924094415724846,710.8870808133034,1421,2387.984517945109,1,1,1,4.0,52528.0,3025891.0,17.36,68.22,16.31,9.18,1.0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AR,2022,6.31390886133764,5.821382389094151,1.3808193513858928,1496.838089954303,537,1005.4562383612664,5.701147469694822,5.6467232220028425,1.172740407809318,654.5019091899533,1483,2438.3472690492245,1,1,1,3.2,55432.0,3045637.0,17.69,67.47,16.78,8.43,1.0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AR,2023,6.310459981535462,5.858957745819769,1.406222173103082,1523.1736993775428,388,708.4278350515464,5.687252961772332,5.61905834084561,1.196876434710191,693.0198534206577,1133,2914.9417475728155,1,1,1,3.1,58700.0,3067732.0,17.96,67.11,15.66,8.92,1.0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
